,Date,btc_cp,doge_cp,eth_cp
0,1/1/2018,13657.2002,0.008909,772.640991
1,2/1/2018,14982.09961,0.009145,884.44397
2,3/1/2018,15201,0.00932,962.719971
3,4/1/2018,15599.2002,0.009644,980.921997
4,5/1/2018,17429.5,0.012167,997.719971
5,6/1/2018,17527,0.014863,1041.680054
6,7/1/2018,16477.59961,0.017088,1153.170044
7,8/1/2018,15170.09961,0.015045,1148.530029
8,9/1/2018,14595.40039,0.01342,1299.73999
9,10/1/2018,14973.29981,0.013102,1255.819946
10,11/1/2018,13405.79981,0.011469,1154.930054
11,12/1/2018,13980.59961,0.013056,1273.199951
12,13/1/2018,14360.2002,0.013023,1396.420044
13,14/1/2018,13772,0.011684,1366.77002
14,15/1/2018,13819.79981,0.009857,1291.920044
15,16/1/2018,11490.5,0.006822,1053.689941
16,17/1/2018,11188.59961,0.007648,1014.25
17,18/1/2018,11474.90039,0.007969,1036.280029
18,19/1/2018,11607.40039,0.007871,1039.099976
19,20/1/2018,12899.2002,0.008448,1155.150024
20,21/1/2018,11600.09961,0.007131,1049.579956
21,22/1/2018,10931.40039,0.006734,1003.26001
22,23/1/2018,10868.40039,0.006673,986.229004
23,24/1/2018,11359.40039,0.007083,1058.780029
24,25/1/2018,11259.40039,0.007667,1056.030029
25,26/1/2018,11171.40039,0.007237,1055.170044
26,27/1/2018,11440.7002,0.007373,1107.069946
27,28/1/2018,11786.29981,0.007465,1246.01001
28,29/1/2018,11296.40039,0.006967,1182.359985
29,30/1/2018,10106.29981,0.006024,1071.130005
30,31/1/2018,10221.09961,0.00601,1118.310059
31,1/2/2018,9170.540039,0.005029,1036.790039
32,2/2/2018,8830.75,0.004475,915.784973
33,3/2/2018,9174.910156,0.005164,964.018982
34,4/2/2018,8277.009766,0.004399,834.682007
35,5/2/2018,6955.27002,0.003533,697.950989
36,6/2/2018,7754,0.004361,793.122009
37,7/2/2018,7621.299805,0.004297,757.067993
38,8/2/2018,8265.589844,0.004566,817.807007
39,9/2/2018,8736.980469,0.005,883.86499
40,10/2/2018,8621.900391,0.004989,860.414978
41,11/2/2018,8129.970215,0.004956,814.659973
42,12/2/2018,8926.570313,0.005472,868.70697
43,13/2/2018,8598.30957,0.005638,845.257996
44,14/2/2018,9494.629883,0.00673,923.560974
45,15/2/2018,10166.40039,0.007347,936.976013
46,16/2/2018,10233.90039,0.007034,944.210022
47,17/2/2018,11112.7002,0.007049,974.11499
48,18/2/2018,10551.79981,0.006424,923.921021
49,19/2/2018,11225.29981,0.006697,943.86499
50,20/2/2018,11403.7002,0.007094,895.370972
51,21/2/2018,10690.40039,0.006581,849.971008
52,22/2/2018,10005,0.006259,812.844971
53,23/2/2018,10301.09961,0.006648,864.189026
54,24/2/2018,9813.070313,0.006324,840.515015
55,25/2/2018,9664.730469,0.006142,844.809998
56,26/2/2018,10366.7002,0.006339,869.315002
